Rank,Release Group,Worldwide,Domestic,%,Foreign,%
158,"Monsters, Inc. 2020 Re-release","$164,000","$164,000",100%,-,-
159,Cruel Peter,"$163,925",-,-,"$163,925",100%
160,Halloween 2020 Re-release,"$160,000","$160,000",100%,-,-
161,The Booksellers,"$156,245","$25,694",16.4%,"$130,551",83.6%
162,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
163,Billie,"$151,836",-,-,"$151,836",100%
164,Shirley,"$148,530",-,-,"$148,530",100%
165,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
166,The Silencing,"$141,479","$100,746",71.2%,"$40,733",28.8%
167,Incitement,"$140,306","$140,306",100%,-,-
168,Most Wanted,"$138,000","$138,000",100%,-,-
169,Beneath Us,"$137,260","$137,260",100%,-,-
170,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
171,Only,"$125,603",-,-,"$125,603",100%
172,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
173,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
174,Lucky Grandma,"$113,159","$102,000",90.1%,"$11,159",9.9%
175,A Call to Spy,"$110,286","$110,286",100%,-,-
176,Heaven,"$107,511","$107,511",100%,-,-
177,Miss Juneteenth,"$104,707","$92,349",88.2%,"$12,358",11.8%
178,The Trial of the Chicago 7,"$104,048",-,-,"$104,048",100%
179,The Roads Not Taken,"$103,734","$3,518",3.4%,"$100,216",96.6%
180,First Cow,"$101,068","$101,068",100%,-,-
181,First Lady,"$93,298","$93,298",100%,-,-
182,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
183,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
184,How to Build a Girl,"$70,632","$70,632",100%,-,-
185,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
186,Never Too Late,"$66,863",-,-,"$66,863",100%
187,My Brothers' Crossing,"$59,395","$59,395",100%,-,-
188,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
189,A Simple Wedding,"$54,415","$54,415",100%,-,-
190,Pray: The Story of Patrick Peyton,"$51,918","$51,918",100%,-,-
191,Miss Fisher & the Crypt of Tears Special Screenings,"$51,158","$51,032",99.8%,$126,0.2%
192,House of Cardin,"$50,659",-,-,"$50,659",100%
193,Henchmen 2020 Re-release,"$49,676","$49,676",100%,-,-
194,The Way I See It,"$49,030","$49,030",100%,-,-
195,VHYes,"$47,037","$47,037",100%,-,-
196,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
197,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
198,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
199,Three Christs,"$36,723","$36,723",100%,-,-
200,Tread,"$36,527","$36,527",100%,-,-
201,Waiting for Anya,"$36,404",-,-,"$36,404",100%
202,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
203,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
204,Rent-A-Pal,"$30,901","$30,901",100%,-,-
205,After Parkland,"$30,444","$30,444",100%,-,-
206,Olympic Dreams,"$29,450","$29,450",100%,-,-
207,Buffaloed,"$29,118","$29,118",100%,-,-
208,Abe,"$28,657",-,-,"$28,657",100%
209,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
